row | margin_down | margin_up | delta | y_down | y_up | delta_y | rowH_down | lastRowShaped_down | lastRowShaped_up | inBand_up | nudge_up | pull_up | pbDisarm_up
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:new_latest_airing_shows_series | 8 | 7 | 1 | 6513 | 6514 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:snoak_latest_netflix_movies | 8 | 7 | 1 | 7045 | 7045 | 0 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:snoak_latest_netflix_series | 8 | 7 | 1 | 7575 | 7576 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:snoak_latest_prime_movies | 8 | 7 | 1 | 8107 | 8107 | 0 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:snoak_latest_prime_series | 8 | 7 | 1 | 8637 | 8638 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:snoak_latest_disney_movies | 8 | 7 | 1 | 9169 | 9169 | 0 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:snoak_latest_disney_series | 8 | 8 | 0 | 9699 | 9700 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:snoak_latest_apple_movies | 9 | 8 | 1 | 10230 | 10231 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:snoak_latest_apple_series | 9 | 8 | 1 | 10761 | 10762 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:snoak_latest_paramount_movies | 9 | 8 | 1 | 11292 | 11293 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:snoak_latest_paramount_series | 9 | 8 | 1 | 11823 | 11824 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:movie:aicat_list_81024 | 8 | 7 | 1 | 12354 | 12355 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:series:aicat_list_81025 | 8 | 7 | 1 | 12885 | 12886 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:movie:aicat_list_81026 | 8 | 7 | 1 | 13416 | 13417 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:series:aicat_list_81027 | 8 | 7 | 1 | 13947 | 13948 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:movie:aicat_random_public_movie | 7 | 7 | 0 | 14479 | 14479 | 0 | 531 | 0 | 0 | 1 | 0 | 0 | 0
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:series:aicat_random_public_series | 9 | 8 | 1 | 15008 | 15009 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:movie:aicat_streamservice_2261316 | 9 | 8 | 1 | 15539 | 15540 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:series:aicat_streamservice_2261317 | 39 | 8 | 31 | 16040 | 16071 | -31 | 531 | 0 | 0 | 1 | 0 | 0 | 0
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:movie:aicat_streamservice_2261318 | 8 | 8 | 0 | 16602 | 16602 | 0 | 531 | 0 | 0 | 1 | 0 | 0 | 0
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:series:aicat_streamservice_2261319 | 39 | 7 | 32 | 17102 | 17134 | -32 | 531 | 0 | 0 | 1 | 0 | 0 | 0
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:series:aicat_streamservice_2261320 | 8 | 7 | 1 | 17664 | 17664 | 0 | 531 | 0 | 0 | 1 | 0 | 0 | 0
com.aicat.3bf83703-56e9-4e2e-aa75-812122fb0b99.nuvio:movie:aicat_streamservice_2261321 | 8 | 7 | 1 | 18195 | 18195 | 0 | 531 | 0 | 0 | 1 | 0 | 0 | 0
community.betterposters:movie:trakt-trending | 8 | 7 | 1 | 18725 | 18726 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
community.betterposters:series:trakt-trending | 8 | - | - | 19256 | - | - | 531 | 0 | - | - | - | - | -

median(margin_down-margin_up)=1.0 max=32 over 35 row(s) with both samples; last row 'community.betterposters:series:trakt-trending' rowH_down=531 lastRowShaped_down=0
