row | margin_down | margin_up | delta | y_down | y_up | delta_y | rowH_down | lastRowShaped_down | lastRowShaped_up | inBand_up | nudge_up | pull_up | pbDisarm_up
upcoming | 44 | - | - | 395 | - | - | 383 | 0 | - | - | - | - | -
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:recs_movies_for_you | 8 | 7 | 1 | 814 | 815 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:recs_series_for_you | 8 | 7 | 1 | 1345 | 1346 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
collection-erfs5gwk-community-2 | 44 | 44 | 0 | 1840 | 1840 | 0 | 402 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:recs_because_movies | 8 | 7 | 1 | 2278 | 2279 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
collection-hftcv0ta-community | 8 | 7 | 1 | 2809 | 2810 | -1 | 519 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:recs_because_series | 8 | 7 | 1 | 3328 | 3329 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:snoak_top100_movies | 8 | 8 | 0 | 3859 | 3859 | 0 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:snoak_top100_series | 9 | 8 | 1 | 4389 | 4390 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:trending_movies | 9 | 8 | 1 | 4920 | 4921 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:series:trending_series | 9 | 8 | 1 | 5451 | 5452 | -1 | 531 | 0 | 0 | 1 | 0 | 0 | 0
app.xperience.21e577a3-adc1-47c4-a75b-34493a8dab94:movie:new_latest_releases_movies | 8 | 8 | 0 | 5983 | 5983 | 0 | 531 | 0 | 0 | 1 | 0 | 0 | 0
